#IFR	BER
32	1.421964e-07
34	7.109819e-08
36	7.109819e-08
38	0.000000e+00
40	1.421964e-07
42	2.132946e-07
44	2.843928e-07
46	1.635258e-06
48	3.270517e-06
50	7.820801e-06
52	2.061847e-05
54	4.429417e-05
56	9.121898e-05
58	1.824380e-04
60	3.447551e-04
62	6.110889e-04
64	1.097756e-03
66	2.033124e-03
68	3.139341e-03
70	4.999767e-03
72	7.698512e-03
74	1.212167e-02
76	1.710857e-02
78	2.574977e-02
80	3.437462e-02
82	4.729835e-02
84	6.016108e-02
86	7.757438e-02
88	9.669908e-02
90	1.223813e-01
