#IFR	BER
10	1.186415e-02
12	5.429840e-03
14	2.277773e-03
16	9.114788e-04
18	3.596857e-04
20	1.338779e-04
22	5.012422e-05
24	1.834333e-05
26	5.545659e-06
28	1.990749e-06
30	1.049384e-01
32	Files size mismatch!
34	Files size mismatch!
36	Files size mismatch!
38	Files size mismatch!
