#OSNR	BER
45	6.594641e+00
44	6.594936e+00
43	6.595483e+00
42	6.596357e+00
41	6.597008e+00
40	6.598217e+00
39	6.599003e+00
38	6.600863e+00
37	6.602581e+00
36	6.604889e+00
35	6.608092e+00
34	6.611664e+00
33	6.615944e+00
32	6.621891e+00
31	6.628329e+00
30	6.635983e+00
29	6.646079e+00
28	6.659045e+00
27	6.674971e+00
26	6.694402e+00
25	6.719132e+00
24	6.750176e+00
23	6.788286e+00
22	6.831276e+00
21	6.874541e+00
20	6.913908e+00
19	6.956234e+00
18	7.010928e+00
17	7.081947e+00
16	7.169796e+00
15	7.269505e+00
14	7.373762e+00
13	7.380134e+00
12	7.072052e+00
11	6.758229e+00
10	6.406876e+00
9	6.008354e+00
8	5.565637e+00
7	5.065774e+00
6	4.514938e+00
5	3.896962e+00
4	3.278493e+00
3	2.724676e+00
2	2.257012e+00
1	1.853953e+00
0	1.546930e+00
-1	1.309098e+00
-2	1.095634e+00
-3	8.852971e-01
-4	7.088754e-01
-5	5.927484e-01
