#OSNR	BER
45	7.424062e+00
44	7.426285e+00
43	7.427011e+00
42	7.429209e+00
41	7.431887e+00
40	7.434848e+00
39	7.438176e+00
38	7.442712e+00
37	7.447810e+00
36	7.453874e+00
35	7.460203e+00
34	7.467863e+00
33	7.475276e+00
32	7.485755e+00
31	7.496187e+00
30	7.507476e+00
29	7.522080e+00
28	7.537129e+00
27	7.556920e+00
26	7.577714e+00
25	7.598575e+00
24	7.610663e+00
23	7.621120e+00
22	7.635340e+00
21	7.660455e+00
20	7.690518e+00
19	7.722485e+00
18	7.741647e+00
17	7.694953e+00
16	7.435380e+00
15	7.164772e+00
14	6.872682e+00
13	6.537876e+00
12	6.150705e+00
11	5.726032e+00
10	5.283056e+00
9	4.793799e+00
8	4.232674e+00
7	3.689611e+00
6	3.181118e+00
5	2.719282e+00
4	2.301185e+00
3	1.932518e+00
2	1.616022e+00
1	1.368816e+00
0	1.154800e+00
-1	9.608204e-01
-2	7.789777e-01
-3	6.224682e-01
-4	5.246348e-01
-5	4.558176e-01
