#IFR	BER
20	3.009217e-02
24	1.536119e-02
28	7.042844e-03
32	2.868954e-03
36	1.042513e-03
40	3.381430e-04
44	9.057909e-05
48	2.097397e-05
52	3.483811e-06
56	4.976873e-07
60	7.109819e-08
