#OSNR	BER
45	4.931001e+01
44	4.930946e+01
43	4.710679e+01
42	4.532406e+01
41	4.381516e+01
40	4.132294e+01
39	3.980209e+01
38	3.827210e+01
37	3.620164e+01
36	3.359102e+01
35	3.174367e+01
34	2.890933e+01
33	2.667619e+01
32	2.426287e+01
31	2.242048e+01
30	2.025806e+01
29	1.835823e+01
28	1.681813e+01
27	1.492267e+01
26	1.355449e+01
25	1.217913e+01
24	1.093995e+01
23	9.824459e+00
22	8.666064e+00
21	7.913497e+00
20	6.995111e+00
19	6.259646e+00
18	5.568326e+00
17	5.000530e+00
16	4.421233e+00
15	3.904675e+00
14	3.532493e+00
13	3.059953e+00
12	2.722705e+00
11	2.445600e+00
10	2.137539e+00
9	1.917336e+00
8	1.657476e+00
7	1.491669e+00
6	1.289074e+00
5	1.124958e+00
4	9.696546e-01
3	8.294349e-01
2	7.188236e-01
1	6.298878e-01
0	5.418921e-01
-1	4.641876e-01
-2	3.851433e-01
