#OSNR	BER
45	5.057435e+01
44	4.997054e+01
43	4.904409e+01
42	4.681364e+01
41	4.522274e+01
40	4.375101e+01
39	4.239341e+01
38	4.078479e+01
37	3.793246e+01
36	3.621919e+01
35	3.355059e+01
34	3.135238e+01
33	2.908087e+01
32	2.640591e+01
31	2.433056e+01
30	2.243228e+01
29	2.073982e+01
28	1.845432e+01
27	1.695352e+01
26	1.512529e+01
25	1.365348e+01
24	1.212727e+01
23	1.116867e+01
22	9.931019e+00
21	8.825314e+00
20	7.845530e+00
19	7.018080e+00
18	6.296369e+00
17	5.665399e+00
16	5.029034e+00
15	4.468777e+00
14	3.892898e+00
13	3.458805e+00
12	3.141637e+00
11	2.775547e+00
10	2.449436e+00
9	2.129447e+00
8	1.857861e+00
7	1.628489e+00
6	1.441098e+00
5	1.241886e+00
4	1.064460e+00
3	9.196838e-01
2	8.078549e-01
1	6.970388e-01
0	5.878195e-01
-1	5.179616e-01
-2	4.158591e-01
